word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_parts,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_table,word_freq_conference,char_freq_;,char_freq_(,char_freq_[,char_freq_!,char_freq_$,char_freq_#,capital_run_length_average,capital_run_length_longest,capital_run_length_total,spam,Predicted_spam
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Low,0,0
Zero,Zero,High,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,High,Zero,Zero,Medium,Zero,High,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Medium,Low,Medium,1,1
Zero,Zero,Low,Zero,Zero,Zero,Zero,Low,Low,Low,Low,High,Medium,Medium,Zero,Low,Low,Zero,Zero,Low,Low,Zero,Zero,Zero,High,Low,Zero,Zero,Low,Low,Low,Zero,Zero,Zero,Low,Low,Low,Low,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Medium,Zero,Zero,Zero,Zero,Low,Low,Medium,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,1,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,High,Zero,Low,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Medium,Zero,Zero,Zero,Medium,Medium,Medium,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Low,Low,Zero,0,0
Zero,Low,High,Zero,Medium,High,Medium,Zero,High,Low,Medium,Medium,Medium,Zero,High,Low,Zero,High,Low,Low,Low,Zero,Medium,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Low,Low,Zero,Zero,Zero,Low,Zero,Medium,Medium,Low,Medium,Medium,Medium,1,1
Zero,Zero,Low,Zero,Medium,High,Medium,Medium,Zero,Zero,Zero,Low,Medium,Zero,Zero,Low,Low,Zero,Medium,Zero,High,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Medium,Zero,Zero,Zero,Low,1,1
Zero,Zero,Low,Zero,Low,Zero,Zero,Low,Low,Low,Zero,Low,Low,Zero,Zero,Medium,Zero,Zero,Low,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Low,Zero,Zero,Zero,Medium,Zero,Low,Zero,Zero,Zero,Zero,Low,Zero,Medium,Zero,Zero,Medium,Medium,Medium,1,1
High,Zero,Low,Zero,Zero,Medium,Zero,Zero,Zero,Low,High,Low,High,Zero,Zero,Medium,High,Low,Medium,Zero,Low,Low,Low,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Medium,Zero,High,High,Medium,Medium,Medium,Medium,1,1
Zero,Medium,High,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Medium,Zero,High,Medium,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Low,Zero,High,Zero,Zero,Medium,Medium,Medium,1,1
Zero,High,High,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,High,Zero,Zero,Zero,Zero,Zero,Medium,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,0,1
